brand,ig_temple,ig_machine,ig_temple_rationale,ig_machine_rationale,Company,Meta,Sub,Locations,Instagram,posts,followers,Franchise,Virtual_Fitness_Service,In_Person_Fitness_Service,Equipment/Apparel,Notes
prana,8,1,"The imagery and messaging emphasize harmony with nature, mindfulness, comfort, and holistic well-being. Phrases like 'you are exactly where you need to be' and visuals of people in relaxed, natural settings suggest a balanced, sacred, and holistic approach to the body.","There is minimal emphasis on performance, optimization, or mechanical aspects of the body. The content does not focus on results, athletic achievement, or treating the body as a machine.",prana,62,apparel,NA,https://www.instagram.com/prana/,4304,273000,NA,0,0,1,NA
nike,3,9,"There are some elements of holistic strength and personal empowerment, but the overall focus is not on balance, harmony, or sacredness. The imagery is more about athleticism and achievement than about the body as a temple.","The imagery and messaging are heavily performance-oriented, showcasing athletes in action, emphasizing strength, speed, and results. The body is depicted as something to be optimized and pushed to its limits, aligning closely with the 'machine' dimension.",nike,310,apparel,NA,https://www.instagram.com/nike/,1662,298000000,NA,1,0,1,NA
fp,4,7,"There are some elements of wellness, happiness, and inspiration (e.g., 'Fitness. Wellness. Happiness.' and motivational quotes), which suggest a partial focus on holistic well-being, but the overall imagery is more oriented toward activity and performance.","The imagery and messaging emphasize activity, athletic wear, running, and performance-oriented language like 'strong, smart, bold.' The focus is on optimizing performance and physical activity, aligning more with the 'machine' dimension.",free people movement,200,apparel,3,https://www.instagram.com/fpmovement/,6073,563000,0,0,1,1,issue with chatgpt ad selection
athleta,7,5,"The imagery and messaging emphasize holistic well-being, confidence, strength, and belonging, with several photos showing women in relaxed, peaceful, and balanced settings, often smiling and engaging in mindful activities. The brand's bio also references inspiration, confidence, and belonging, which align with a 'temple' orientation.","There is a moderate presence of performance-oriented and active imagery, such as women running, stretching, and wearing athletic gear, which suggests a focus on physical capability and optimization. However, this is balanced with the holistic and wellness themes, so the 'machine' dimension is present but not dominant.",athleta,150,apparel,NA,https://www.instagram.com/athleta/,712,981000,NA,0,0,1,women. no online classes. Parent company gap
vuori,7,3,"The imagery emphasizes harmony with nature, comfort, and a holistic lifestyle, with outdoor scenes and relaxed, balanced poses. The brand messaging ('A New Perspective on Performance Apparel') and visuals suggest a focus on well-being and balance rather than just performance.","There are some elements of performance and activity (e.g., people in motion, athletic wear), but the overall tone is not highly mechanical or optimization-driven. The focus is more on lifestyle and harmony than on pushing the body for results.",vuori,610,apparel,NA,https://www.instagram.com/vuoriclothing/,3712,1000000,NA,0,0,1,NA
asics,7,5,"The messaging and imagery emphasize holistic well-being, mental peace, and balance, as seen in phrases like 'You don't need a map to find peace of mind' and yoga imagery. There is a focus on movement for the mind and inclusivity, suggesting a harmonious and holistic approach to the body.","There are elements of performance and achievement, such as race finishes and athletic apparel, which suggest optimization and results. However, these are balanced with wellness and mental health themes, so the machine orientation is present but not dominant.",asics,0,apparel,NA,https://www.instagram.com/asics/,3389,1300000,NA,0,0,1,NA
on,6,5,"The imagery includes people in natural settings, moments of joy, relaxation, and connection, suggesting a holistic and balanced approach to the body. There is an emphasis on harmony with nature and community, which aligns with the 'temple' dimension.","There are clear references to athletic performance and optimization, such as the image of a runner crossing a finish line, which aligns with the 'machine' dimension. However, this is balanced with lifestyle and emotional content, so the machine orientation is present but not dominant.",On,NA,apparel,NA,https://www.instagram.com/on/,2887,3000000,NA,0,0,1,they probably advertise but I couldn’t find
alo,9,3,"The imagery and messaging on the Alo Yoga Instagram page strongly emphasize holistic wellness, mindfulness, balance, and harmony. Phrases like 'Inspiring mindful movement' and 'supporting mind-body wellness' as well as visuals of yoga, meditation, and serene environments all reinforce the body-as-temple orientation.","While there is some focus on physical performance and athleticism through yoga poses and activewear, the overall messaging is not primarily about optimization or mechanical performance. The emphasis is more on balance and holistic well-being than on treating the body as a machine.",alo yoga,320,apparel,3,https://www.instagram.com/aloyoga/,5497,3600000,0,0,1,1,has 3 physical locations in nyc
reebok,3,7,"Some images, such as those featuring stretching, dance, and moments of reflection, suggest a degree of balance, self-care, and holistic well-being. However, these are not the dominant themes across the page.","The majority of the imagery emphasizes athleticism, performance, and activity (e.g., basketball, running, and training). The focus on sports, athletic gear, and dynamic poses aligns with a machine-like, performance-oriented representation of the body.",reebok,24,apparel,NA,https://www.instagram.com/reebok/,644,4300000,NA,0,0,1,NA
lululemon,7,5,"The imagery and messaging emphasize mindfulness, community, and holistic well-being, as seen in references to running as a way to clear your head and group activities that suggest balance and harmony. The brand bio also mentions mindfulness and community, reinforcing a temple-like orientation.","There are elements of performance and optimization, such as running events and athletic apparel, but these are balanced with messages about mental health and community rather than being solely focused on results or mechanical optimization.",lululemon,170,apparel,NA,https://www.instagram.com/lululemon/,3667,5300000,NA,0,0,1,chatgpt issue selecting
